price_eur	year	km_age	mark
22855	2012	302292	BMW
27900	2016	277528	Mercedes-Benz
22800	2019	267787	Opel
22860	2018	230398	Opel
22846	2013	228279	BMW
51700	2015	215000	Toyota
28000	2015	210000	Volkswagen
22800	2012	204000	Mercedes-Benz
22800	2017	188839	Ford
28000	2017	188500	Land_Rover
22850	2019	183466	Audi
28000	2009	181962	Volkswagen
22850	2014	178000	Volkswagen
22850	2014	175000	Volkswagen
22800	2016	173001	Audi
27900	2004	171000	BMW
22800	2016	170000	Ford
22850	2017	169103	Ford
22850	1989	168000	Skoda
22850	2017	159313	Renault
22854	2018	159101	Ford
28000	1999	155200	Volkswagen
22848	2015	150000	Porsche
28000	2016	150000	Alfa_Romeo
22850	2017	149850	Volkswagen
22850	2007	149623	Skoda
25870	2015	148000	Ford
22648	2015	147827	Smart
22815	2019	146444	Mercedes-Benz
22840	2005	145000	Mercedes-Benz
27900	2016	144527	Opel
22850	2011	144000	Skoda
28000	2014	144000	BMW
22725	2018	143897	Mercedes-Benz
21852	2014	142703	Opel
22849	2017	142100	Volkswagen
22860	2019	138600	Opel
21860	2019	138600	Mercedes-Benz
25850	1978	136500	Volkswagen
22848	2017	136373	Volkswagen
22840	2018	136234	Opel
30840	2018	136000	Volkswagen
22813	2016	135628	Audi
22850	2019	135482	Seat
22850	2019	135482	Volkswagen
22850	2019	135482	Ford
22850	2019	135482	Audi
22850	2019	135482	Mercedes-Benz
22850	2019	135482	Mercedes-Benz
22850	2019	135482	Volkswagen
22850	2019	135482	Mercedes-Benz
22840	2017	134395	BMW
22800	2016	133000	Volkswagen
22808	2017	131888	Ford
22850	2014	131000	Opel
22843	2019	130948	Seat
22808	2018	130042	Seat
22850	2020	129098	Seat
25870	2019	127859	Audi
22850	1982	127531	Volkswagen
22849	2019	127200	Skoda
22850	2016	127022	Dacia
28000	2013	127000	Mazda
25850	2018	126700	Volkswagen
25850	1967	126600	Opel
22850	2011	126500	Opel
22850	2017	125900	Skoda
22800	2018	125750	Volkswagen
22850	2018	125357	Smart
22850	2018	125357	Opel
22850	2018	125357	Smart
22850	2018	125357	Mazda
22850	2018	125357	Hyundai
22850	2018	125357	Volkswagen
22850	2018	125357	Volkswagen
22850	2018	125357	Ford
24950	2014	125200	BMW
25870	2018	124153	Audi
28000	1992	124000	BMW
21700	2019	123911	Mercedes-Benz
22860	2018	122455	Ford
28000	2016	122000	Opel
